JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3
17822,0,0,1,0
17824,0,0,1,0
17826,0,0,1,0
17828,0,0,1,0
17830,0,0,1,0
17832,1,0,0,0
17834,1,0,0,0
17836,0,0,1,0
17838,1,0,0,0
17840,1,0,0,0
17842,0,0,1,0
17844,0,1,0,0
17846,0,1,0,0
17848,0,0,1,0
17850,0,0,1,0
17852,0,0,1,0
17854,0,0,1,0
17856,0,0,1,0
17858,0,0,1,0
17860,0,1,0,0
17862,0,1,0,0
17864,0,1,0,0
17866,0,0,1,0
17868,0,0,1,0
17870,0,0,1,0
17872,0,0,1,0
17874,0,0,1,0
17876,1,0,0,0
17878,0,0,1,0
17880,1,0,0,0
17882,0,0,1,0
17884,0,0,1,0
17886,0,1,0,0
17888,0,0,1,0
17890,1,0,0,0
17892,0,0,1,0
17894,0,0,1,0
17896,1,0,0,0
17898,0,0,1,0
17900,0,0,1,0
17902,1,0,0,0
17904,0,0,1,0
17906,0,0,1,0
17908,0,0,1,0
17910,0,0,1,0
17912,0,0,1,0
17914,0,0,1,0
17916,0,0,1,0
17918,0,0,1,0
17920,0,1,0,0
17922,1,0,0,0
17924,1,0,0,0
17926,1,0,0,0
17928,1,0,0,0
17930,0,0,1,0
17932,0,1,0,0
17934,0,0,1,0
17936,0,0,1,0
17938,1,0,0,0
17940,0,1,0,0
17942,0,1,0,0
17944,0,0,1,0
17946,1,0,0,0
17948,0,0,1,0
17950,1,0,0,0
17952,1,0,0,0
17954,0,0,1,0
17956,1,0,0,0
17958,1,0,0,0
17960,0,0,1,0
17962,0,0,1,0
17964,1,0,0,0
17966,0,0,1,0
17968,1,0,0,0
17970,0,0,1,0
17972,0,1,0,0
17974,0,0,1,0
17976,0,1,0,0
17978,1,0,0,0
17980,0,0,1,0
17982,1,0,0,0
17984,1,0,0,0
17986,0,0,1,0
17988,0,0,1,0
17990,0,0,1,0
17992,0,1,0,0
17994,0,0,1,0
17996,1,0,0,0
17998,0,0,1,0
18000,0,1,0,0
18002,1,0,0,0
18004,0,0,1,0
18006,0,0,1,0
18008,0,1,0,0
18010,0,1,0,0
18012,0,0,1,0
18014,1,0,0,0
18016,1,0,0,0
18018,0,0,1,0
18020,0,1,0,0
18022,1,0,0,0
18024,1,0,0,0
18026,1,0,0,0
18028,0,0,1,0
18030,1,0,0,0
18032,1,0,0,0
18034,0,1,0,0
18036,0,1,0,0
18038,0,0,1,0
18040,0,0,1,0
18042,0,0,1,0
18044,1,0,0,0
18046,0,1,0,0
18048,0,0,1,0
18050,1,0,0,0
18052,0,0,1,0
18054,1,0,0,0
18056,0,0,0,0
18058,1,0,0,0
18060,0,0,1,0
18062,0,1,0,0
18064,1,0,0,0
18066,0,1,0,0
18068,0,0,1,0
18070,0,0,1,0
18072,0,0,1,0
18074,1,0,0,0
18076,1,0,0,0
18078,1,0,0,0
18080,1,0,0,0
18082,1,0,0,0
18084,1,0,0,0
18086,0,0,0,1
18088,1,0,0,0
18090,0,0,1,0
18092,0,0,1,0
18094,1,0,0,0
18096,1,0,0,0
18098,1,0,0,0
18100,1,0,0,0
18102,0,0,0,0
18104,0,0,0,0
18106,1,0,0,0
18108,0,0,1,0
18110,0,0,1,0
18112,1,0,0,0
18114,0,0,1,0
18116,1,0,0,0
18118,1,0,0,0
18120,1,0,0,0
18122,1,0,0,0
18124,0,1,0,0
18126,0,0,1,0
18128,0,0,1,0
18130,1,0,0,0
18132,1,0,0,0
18134,1,0,0,0
